"","year","lrf.m","lrf.sd","lrf.l","lff.m","lff.sd","lff.l","lcf.m","lcf.sd","lcf.l","stdi.m","stdi.sd","stdi.l","smdi.m","smdi.sd","smdi.l","tsdi.m","tsdi.sd","tsdi.l"
"year85",85,78.8904748136267,2.77466426686577,50,8.16836441138168,0.268561287776117,50,3.70474194472763,1.04059337378858,50,-16.7049035278735,0.504226142918606,50,-0.00676169606680332,0.027707128046322,50,-16.6986586367866,0.497924711795555,50
"year86",86,80.0621520293536,2.78221411453669,50,8.22956220991441,0.270312998804585,50,3.76437162028911,1.05713152396319,50,-16.8168029606968,0.518447654706316,50,-0.0087634154667245,0.0369937755563677,50,-16.8087240117344,0.51057276077323,50
"year87",87,81.4011026313956,2.79186162930066,50,8.28874770326741,0.272080692910145,50,3.82255985060647,1.07319804637792,50,-16.9736159799257,0.537582186461769,50,-0.0107771536787038,0.0465878737461713,50,-16.9636983411419,0.528297249316609,50
"year88",88,82.9339682330645,2.80416601732657,50,8.3466740706072,0.273873813682125,50,3.87971133017791,1.08892678802755,50,-17.1645871500629,0.560480413697113,50,-0.0128042848736391,0.0563701027679853,50,-17.1528251142434,0.549934092522702,50
"year89",89,84.5305472102524,2.81956471978495,50,8.40354551171143,0.275701368765205,50,3.9359121849505,1.10435492414798,50,-17.3763312249184,0.585865644078084,50,-0.014585520133412,0.0650837820922901,50,-17.362957570022,0.57429949958088,50
"year90",90,86.2045515883394,2.8397308332761,50,8.46679982750823,0.27760603362136,50,3.99628773084648,1.12091294726037,50,-16.8490511609978,0.570966880054038,50,-0.0146955594011587,0.0657025128222644,50,-16.8355031967611,0.558992085814728,50
"year91",91,88.0208069421877,2.86355315781222,50,8.53725439955098,0.279618559208665,50,4.06140874378223,1.13882365034895,50,-15.9321914805787,0.536533860237883,50,-0.0143973146163842,0.0642375715582923,50,-15.9188057621424,0.524164265989368,50
"year92",92,89.950613192773,2.89019549587769,50,8.61044003981582,0.281746575730847,50,4.12902288542632,1.15748811182,50,-14.9521732195718,0.500255387798286,50,-0.0141043561728577,0.0628115633642018,50,-14.9389500574493,0.487379959302629,50
"year93",93,91.9863877470692,2.91961340226107,50,8.68413164803592,0.283939806876632,50,4.19812139129386,1.1766029858933,50,-13.9356374496452,0.463115823812491,50,-0.0137168932863705,0.0609540110807587,50,-13.9226706204257,0.44968440550153,50
"year94",94,93.1820566652681,2.94717761235133,50,8.75785161882828,0.286154373873036,50,4.26837202482851,1.19605164774896,50,-12.8540963668043,0.424724947440987,50,-0.0132435166755897,0.0587002042759435,50,-12.8414723639654,0.41059709266354,50
"year95",95,93.5727051665445,2.97381620389574,50,8.84305073377453,0.288561361375266,50,4.34141150341949,1.21627852772525,50,-11.4706873934578,0.377354010890608,50,-0.0135517704315595,0.0602716549491127,50,-11.4576295373614,0.360401431570914,50
"year96",96,93.910879263358,3.00390342438494,50,8.94700943310047,0.291334455413111,50,4.41856114177845,1.23766415626244,50,-9.78989235220075,0.327356987046012,50,-0.0140804887824942,0.0631187626594904,50,-9.7761437450048,0.305412167229641,50
